Daily cost:
Difference: 4890, options: 1
* 35 - 77, 78 - 34
Difference: 6252, options: 1
* 5 - 43, 44 - 4
Difference: 840, options: 1
* 13 - 49, 50 - 12
Difference: 3736, options: 1
* 13 - 49, 50 - 12
Difference: 4188, options: 1
* 3 - 41, 42 - 2
Difference: 0, options: 1
* 22 - 58, 59 - 21
Difference: 4842, options: 1
* 25 - 60, 61 - 24
Difference: 1804, options: 1
* 20 - 56, 57 - 19
Difference: 2018, options: 4
* 4 - 44, 45 - 3
* 14 - 51, 52 - 13
* 23 - 60, 61 - 22
* 30 - 68, 69 - 29
Difference: 870, options: 1
* 31 - 71, 72 - 30
Difference: 2182, options: 2
* 3 - 40, 41 - 2
* 4 - 43, 44 - 3
Difference: 152, options: 2
* 12 - 49, 50 - 11
* 30 - 69, 70 - 29
Difference: 2475, options: 1
* 27 - 64, 65 - 26
Difference: 994, options: 1
* 19 - 57, 58 - 18
Difference: 592, options: 1
* 19 - 57, 58 - 18
Difference: 0, options: 1
* 4 - 45, 46 - 3
Difference: 204, options: 1
* 39 - 80, 81 - 38
Difference: 0, options: 1
* 24 - 61, 62 - 23
Difference: 3228, options: 1
* 32 - 73, 74 - 31
Difference: 4218, options: 1
* 5 - 46, 47 - 4
Difference: 667, options: 1
* 8 - 47, 48 - 7
Difference: 201, options: 1
* 29 - 65, 66 - 28
Difference: 1757, options: 2
* 14 - 53, 54 - 13
* 35 - 76, 77 - 34
Difference: 87, options: 1
* 27 - 64, 65 - 26
Difference: 1080, options: 1
* 14 - 52, 53 - 13
Difference: 175, options: 1
* 21 - 57, 58 - 20
Difference: 5, options: 1
* 31 - 69, 70 - 30
Difference: 1361, options: 1
* 3 - 45, 46 - 2
Difference: 291, options: 1
* 16 - 56, 57 - 15
Difference: 719, options: 1
* 32 - 72, 73 - 31
Difference: 4316, options: 2
* 16 - 56, 57 - 15
* 19 - 58, 59 - 18
Difference: 903, options: 1
* 40 - 80, 81 - 39
Difference: 2174, options: 1
* 39 - 79, 80 - 38
Difference: 954, options: 1
* 38 - 77, 78 - 37
Difference: 1377, options: 1
* 37 - 78, 79 - 36
Difference: 526, options: 1
* 2 - 44, 45 - 1
Difference: 70, options: 1
* 3 - 45, 46 - 2
Difference: 6184, options: 1
* 32 - 71, 72 - 31
Difference: 1020, options: 1
* 11 - 48, 49 - 10
Difference: 3749, options: 1
* 23 - 62, 63 - 22
Difference: 1724, options: 1
* 15 - 56, 57 - 14
Difference: 1343, options: 1
* 29 - 67, 68 - 28
Difference: 326, options: 1
* 6 - 50, 51 - 5
Difference: 9405, options: 1
* 31 - 68, 69 - 30
Difference: 3261, options: 1
* 33 - 70, 71 - 32
Difference: 7224, options: 1
* 7 - 50, 51 - 6
Difference: 10, options: 1
* 26 - 63, 64 - 25
Difference: 3687, options: 1
* 29 - 66, 67 - 28
