Daily cost:
Difference: 148, options: 1
* 3 - 32, 33 - 2
Difference: 839, options: 1
* 24 - 51, 52 - 23
Difference: 328, options: 1
* 12 - 39, 40 - 11
Difference: 1018, options: 1
* 20 - 50, 51 - 19
Difference: 340, options: 1
* 16 - 44, 45 - 15
Difference: 1784, options: 1
* 9 - 37, 38 - 8
Difference: 13000, options: 1
* 16 - 43, 44 - 15
Difference: 9685, options: 1
* 16 - 43, 44 - 15
Difference: 1221, options: 2
* 19 - 47, 48 - 18
* 31 - 58, 59 - 30
Difference: 0, options: 2
* 2 - 32, 33 - 1
* 29 - 57, 58 - 28
Difference: 0, options: 2
* 2 - 32, 33 - 1
* 29 - 57, 58 - 28
Difference: 125, options: 1
* 31 - 58, 59 - 30
Difference: 731, options: 1
* 5 - 35, 36 - 4
Difference: 861, options: 1
* 31 - 60, 61 - 30
Difference: 338, options: 1
* 31 - 60, 61 - 30
Difference: 1623, options: 1
* 5 - 34, 35 - 4
Difference: 66, options: 1
* 8 - 37, 38 - 7
Difference: 1790, options: 1
* 16 - 44, 45 - 15
Difference: 503, options: 1
* 16 - 44, 45 - 15
Difference: 984, options: 1
* 17 - 45, 46 - 16
Difference: 2970, options: 1
* 17 - 45, 46 - 16
Difference: 5664, options: 1
* 10 - 40, 41 - 9
Difference: 1882, options: 1
* 20 - 49, 50 - 19
Difference: 1356, options: 2
* 3 - 31, 32 - 2
* 27 - 55, 56 - 26
Difference: 1248, options: 2
* 3 - 31, 32 - 2
* 27 - 55, 56 - 26
Difference: 9326, options: 1
* 8 - 36, 37 - 7
Difference: 588, options: 1
* 20 - 48, 49 - 19
Difference: 2008, options: 1
* 20 - 48, 49 - 19
Difference: 3854, options: 1
* 28 - 56, 57 - 27
Difference: 208, options: 1
* 25 - 52, 53 - 24
Difference: 2386, options: 1
* 8 - 36, 37 - 7
Difference: 1052, options: 1
* 31 - 60, 61 - 30
Difference: 325, options: 1
* 12 - 40, 41 - 11
Difference: 216, options: 1
* 18 - 45, 46 - 17
Difference: 2364, options: 1
* 18 - 45, 46 - 17
Difference: 5404, options: 1
* 5 - 34, 35 - 4
Difference: 495, options: 1
* 19 - 46, 47 - 18
Difference: 1869, options: 1
* 2 - 32, 33 - 1
Difference: 517, options: 1
* 5 - 34, 35 - 4
Difference: 2552, options: 3
* 9 - 38, 39 - 8
* 19 - 46, 47 - 18
* 28 - 56, 57 - 27
Difference: 6564, options: 1
* 5 - 34, 35 - 4
Difference: 1413, options: 1
* 12 - 40, 41 - 11
Difference: 140, options: 1
* 7 - 36, 37 - 6
