Denni naklady:
Rozdil: 5630, moznosti: 1
* 3 - 37, 38 - 2
Rozdil: 3645, moznosti: 2
* 22 - 62, 63 - 21
* 29 - 68, 69 - 28
Rozdil: 0, moznosti: 1
* 6 - 40, 41 - 5
Rozdil: 2762, moznosti: 1
* 1 - 35, 36 - 0
Rozdil: 666, moznosti: 1
* 3 - 38, 39 - 2
Rozdil: 1276, moznosti: 1
* 32 - 70, 71 - 31
Rozdil: 4431, moznosti: 1
* 35 - 72, 73 - 34
Rozdil: 36, moznosti: 1
* 10 - 42, 43 - 9
Rozdil: 294, moznosti: 1
* 18 - 52, 53 - 17
Rozdil: 1311, moznosti: 2
* 20 - 56, 57 - 19
* 21 - 59, 60 - 20
Rozdil: 7171, moznosti: 1
* 34 - 71, 72 - 33
Rozdil: 782, moznosti: 1
* 9 - 42, 43 - 8
Rozdil: 1340, moznosti: 1
* 24 - 64, 65 - 23
Rozdil: 240, moznosti: 1
* 10 - 43, 44 - 9
Rozdil: 5895, moznosti: 1
* 2 - 37, 38 - 1
Rozdil: 2322, moznosti: 1
* 7 - 41, 42 - 6
Rozdil: 836, moznosti: 4
* 6 - 41, 42 - 5
* 18 - 50, 51 - 17
* 18 - 51, 52 - 17
* 27 - 67, 68 - 26
Rozdil: 3333, moznosti: 1
* 2 - 36, 37 - 1
Rozdil: 8880, moznosti: 1
* 31 - 68, 69 - 30
Rozdil: 272, moznosti: 2
* 18 - 54, 55 - 17
* 21 - 61, 62 - 20
Rozdil: 914, moznosti: 1
* 4 - 40, 41 - 3
Rozdil: 680, moznosti: 2
* 16 - 53, 54 - 15
* 35 - 71, 72 - 34
Rozdil: 1479, moznosti: 1
* 1 - 36, 37 - 0
Rozdil: 1060, moznosti: 1
* 22 - 63, 64 - 21
Rozdil: 2308, moznosti: 1
* 33 - 68, 69 - 32
Rozdil: 0, moznosti: 1
* 13 - 45, 46 - 12
Rozdil: 6288, moznosti: 1
* 27 - 67, 68 - 26
Rozdil: 4336, moznosti: 1
* 14 - 48, 49 - 13
Rozdil: 5232, moznosti: 1
* 26 - 66, 67 - 25
Rozdil: 129, moznosti: 1
* 27 - 67, 68 - 26
Rozdil: 3662, moznosti: 1
* 17 - 53, 54 - 16
Rozdil: 1059, moznosti: 1
* 34 - 70, 71 - 33
Rozdil: 0, moznosti: 1
* 31 - 68, 69 - 30
Rozdil: 396, moznosti: 1
* 15 - 49, 50 - 14
Rozdil: 2669, moznosti: 1
* 3 - 37, 38 - 2
Rozdil: 1373, moznosti: 1
* 17 - 55, 56 - 16
Rozdil: 1647, moznosti: 2
* 24 - 64, 65 - 23
* 33 - 70, 71 - 32
Rozdil: 2228, moznosti: 1
* 26 - 66, 67 - 25
Rozdil: 575, moznosti: 1
* 16 - 50, 51 - 15
Rozdil: 4479, moznosti: 1
* 35 - 72, 73 - 34
Rozdil: 705, moznosti: 1
* 30 - 68, 69 - 29
Rozdil: 317, moznosti: 1
* 17 - 52, 53 - 16
Rozdil: 2247, moznosti: 1
* 20 - 59, 60 - 19
Rozdil: 1003, moznosti: 1
* 32 - 69, 70 - 31
Rozdil: 1104, moznosti: 1
* 21 - 60, 61 - 20
Rozdil: 1779, moznosti: 1
* 5 - 41, 42 - 4
