Denni naklady:
Rozdil: 3330, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7575, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 5625, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4965, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 5145, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 5145, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7845, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 3675, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7785, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 3285, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7770, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4680, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 1230, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 5295, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7770, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6405, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4680, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7860, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 3555, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 7560, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6270, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4830, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 5265, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 525, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6315, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 960, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 600, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 2940, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 1545, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 1335, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4530, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 4320, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 1755, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 15, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 3855, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6240, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 120, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6885, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 720, moznosti: 1
* 8 - 30, 31 - 7
Rozdil: 6435, moznosti: 1
* 8 - 30, 31 - 7
